"name","bio"
"Joscha Bach","Joscha Bach is the VP of Research at the AI Foundation, previously doing research at MIT and Harvard"
"Daniel Schmachtenberger","Daniel Schmachtenberger is a philosopher and founding member of The Consilience Project"
"Dmitry Korkin","Dmitry Korkin is a professor of bioinformatics and computational biology at WPI"
"Matt Walker","Matt Walker is a sleep scientist at Berkeley, author of Why We Sleep, and the host of a new podcast called The Matt Walker Podcast"
"Nic Carter","Nic Carter is a financial researcher, investor, writer, and podcaster on topics of decentralized finance"
"Sam Harris","Sam Harris is an author, podcaster, and philosopher"
"Andrew Huberman","Andrew Huberman is a neuroscientist at Stanford"
"Christof Koch",""
"Zach Bitter","Zach Bitter is an ultramarathon runner and coach"
"Michael Stevens",""
"Marcus Hutter","Marcus Hutter is a senior research scientist at DeepMind and professor at Australian National University"
"Stuart Russell",""
"Michael I. Jordan","Michael I Jordan is a professor at Berkeley, and one of the most influential people in the history of machine learning, statistics, and artificial intelligence"
"Roger Reaves","Roger Reaves is one of the most prolific drug smugglers in history"
"George Hotz","George Hotz (geohot) is a programmer, hacker, and the founder of Comma"
"Ann Druyan","Ann Druyan is the writer, producer, director, and one of the most important and impactful communicators of science in our time"
"Sergey Nazarov","Sergey Nazarov is the Co-Founder of Chainlink, a decentralized oracle network that provides data to smart contracts"
"Leslie Kaelbling",""
"Gilbert Strang",""
"Garry Kasparov",""
"Eugenia Kuyda","Eugenia Kuyda co-founder of Replika, an AI companion"
"Yann LeCun",""
